T,TM,tm,H,P,VV,V,VM
25.7,32,17.4,55,0,1.8,6.3,14.8
26.4,32.4,21.8,42,0,2.4,12.8,24.1
25.3,31.6,20.4,39,0,2.6,10,22.2
,,,,,,,
,,,,,,,
,,,,,,,
-,-,-,-,-,-,-,-
23.1,27.3,17,60,0,1.9,8.9,20.6
23.6,27.6,18,65,0,1.8,5.7,14.8
24,29,18.4,65,0,1.8,6.7,18.3
,,,,,,,
,,,,,,,
,,,,,,,
24.9,30.3,18.3,49,0,1.9,6.3,16.5
25.1,31.2,16,43,0,2.1,6.3,16.5
26.2,33,20.4,31,0,2.4,10.2,20.6
,,,,,,,
,,,,,,,
,,,,,,,
24.8,32,15.4,44,0,2.1,8,18.3
23.9,29.7,15.8,55,0,1.8,6.9,18.3
24.6,30,15.4,51,0,1.8,5.9,14.8
,,,,,,,
,,,,,,,
,,,,,,,
24.3,30,17.4,68,0,1.8,7.4,20.6
24.8,29.3,18.7,59,0,1.9,6.7,18.3
25.1,29,17,54,0,2.4,6.7,22.2
,,,,,,,
,,,,,,,
,,,,,,,
25.4,30,20,56,0,2.3,8.7,20.6
23.8,29.7,19,57,0,2.3,9.4,20.6
23.3,29,17.6,58,0,2.3,9.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
27.7,34.3,22,40,0,2.9,7.8,18.3
26.4,33.2,19,48,0,2.7,6.7,20.6
25.2,29.6,18.9,56,0,2.9,6.9,20.6
26.5,31.8,19,47,0,2.6,6.7,16.5
,,,,,,,
,,,,,,,
,,,,,,,
24.9,29.8,19.1,67,0,2.6,9.4,22.2
24.6,29.9,19.3,56,0,3.5,8.1,22.2
25.9,32.8,17,50,0,3.1,7.8,22.2
,,,,,,,
,,,,,,,
,,,,,,,
26.4,32.2,18.2,54,0,2.6,7,20.6
26.4,32,19,51,0,2.7,6.7,16.5
26.1,31,18.3,59,0,3.2,9.6,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26,31,19.7,65,0,3.4,7.8,22.2
26.6,32,16,62,0,3.5,6.9,22.2
30.5,39,20.2,34,0,3.1,6.9,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.5,31.8,22.9,64,0,3.1,10.9,22.2
25.1,29,19.9,57,0,3.9,11.1,22.2
24.4,28.7,17.2,64,0,4,8.9,22.2
,,,,,,,
24.1,28.3,20,72,-,4.3,15,24.1
24.5,28.3,17.5,57,0,4.2,11.7,24.1
23.5,28,16.6,51,0,3.7,9.4,25.9
,,,,,,,
,,,,,,,
,,,,,,,
28.2,34.5,18.6,43,0,3.2,7.6,22.2
27.4,32,19,55,0,3.4,9.8,22.2
28.3,34.8,22.3,46,0,3.5,7.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.7,37,21.7,44,-,3.4,8.3,18.3
28,32,23,66,2.03,3.5,9.8,22.2
26.8,30.8,21.2,70,0,3.9,10.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.4,37.3,19,42,0,3.4,9.8,24.1
30.8,36.5,21.2,40,0,2.9,7.8,22.2
30.2,35.3,22.2,59,0,2.4,8.7,20.6
,,,,,,,
,,,,,,,
,,,,,,,
32.4,41,22,49,0,3.1,10.9,18.3
30.1,34.3,25.6,79,0,2.9,10.4,22.2
29.7,33.1,25.8,82,0,2.9,10,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.2,35,21.4,28,0,4.3,10.7,20.6
29,33.6,19.6,53,0,4,11.3,24.1
29.1,33.3,20.8,56,0,3.4,10.9,24.1
28.1,32,22,68,0,3.9,10.7,24.1
,,,,,,,
,,,,,,,
,,,,,,,
28.2,32,22,67,0,2.9,9.6,20.6
28.4,32,22.8,71,0,2.9,11.5,25.9
28.9,32,25.2,74,0,3.2,9.1,18.3
,,,,,,,
,,,,,,,
,,,,,,,
28.6,32.3,23.6,66,0,3.2,8.5,24.1
27.7,31.8,23.2,68,0,3.1,8.9,22.2
29.3,33.2,21.8,66,0,3.4,9.4,29.4
,,,,,,,
,,,,,,,
,,,,,,,
31.1,34.5,24,66,0,3.5,9.3,24.1
30.7,34,25.2,78,0,3.5,10.2,25.9
30.9,35.3,25.7,76,0,3.4,11.9,25.9
,,,,,,,
,,,,,,,
,,,,,,,
29.8,33.2,24,68,0,3.9,10,24.1
29.7,33.3,23.8,73,0,4.5,10.9,24.1
30.5,34,24.3,73,0,3.9,9.3,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.1,34.2,25.2,75,0,4.5,9.8,20.6
30.5,34,24.2,76,0,3.9,11.1,22.2
30.4,34.2,25,76,0,4.3,11.7,25.9
,,,,,,,
,,,,,,,
,,,,,,,
31.1,34.5,25.2,70,0,3.5,10.6,22.2
31.2,34.4,25.2,75,0,3.7,11.1,27.8
31.9,35,24.6,66,0,4.2,11.7,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.9,33.8,26,70,0,5,9.8,20.6
31.5,35.3,26.9,68,0,4.7,10.4,25.9
31.6,35.3,25.8,74,0,4.7,10.4,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.8,34.3,27.8,72,0,4.3,13.9,22.2
30.9,34.1,28.2,72,0,5.3,14.4,25.9
31.3,34.3,28.4,71,0,4.7,14.8,22.2
,,,,,,,
,,,,,,,
,,,,,,,
31.5,35.2,29.6,73,0,5.3,16.7,22.2
31.5,34.6,29,71,0,5.1,14.6,24.1
31.3,34.4,27.6,72,0,4.7,13.7,24.1
,,,,,,,
,,,,,,,
,,,,,,,
31.4,34,27,76,0,4.3,11.9,24.1
31.4,34.8,29,69,0,4.2,13.7,27.8
31.4,34.8,28.8,67,0,4.8,13.7,25.9
31.6,34.6,28.2,66,0,4.7,13,25.9
,,,,,,,
,,,,,,,
,,,,,,,
30.2,36.8,26.8,75,0.25,3.9,11.7,27.8
31.1,36.6,27,69,0,5.5,17.4,31.7
30.7,36.4,26.5,70,0,5.3,18,27.8
,,,,,,,
,,,,,,,
,,,,,,,
27.1,29,23.8,90,11.94,2.3,10.7,22.2
25.9,28,24.8,97,23.11,2.3,8.3,20.6
26.2,29.9,23.5,92,58.93,2.7,11.1,24.1
,,,,,,,
,,,,,,,
,,,,,,,
25.6,26.4,24.2,96,282.96,1.4,13.1,29.4
26.1,28,24,94,189.99,1.9,13.5,25.9
26.6,28,24.8,94,131.06,1.8,14.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
29,31.6,28,83,5.08,2.7,19.4,29.4
29.5,33,27.4,82,0.51,2.6,18.9,33.5
29.7,32.2,27.8,79,0.25,3.1,17.4,27.8
,,,,,,,
,,,,,,,
,,,,,,,
29.8,32.8,27.5,76,6.1,4.3,15.4,25.9
29.9,32.7,27.6,75,0,4.2,14.4,22.2
30.1,33,27.8,74,0.25,3.7,19.6,25.9
,,,,,,,
,,,,,,,
,,,,,,,
29.8,32.7,28.2,79,0,3.7,19.8,29.4
29.9,32,26.2,79,4.06,3.9,19.1,27.8
30.1,32.9,27.8,78,0.25,3.9,18,24.1
,,,,,,,
,,,,,,,
,,,,,,,
29.9,32.6,28,78,0,3.1,15.6,24.1
30,32.8,26.4,74,2.03,3.5,15.6,22.2
30.1,33,27.6,74,1.02,4,15.7,27.8
,,,,,,,
,,,,,,,
,,,,,,,
29.6,33,26.2,79,5.08,3.1,19.4,29.4
29,31.6,25,81,0.51,2.9,19.6,37
27.9,29,24.2,88,60.96,2.6,16.9,27.8
,,,,,,,
,,,,,,,
,,,,,,,
28.7,30.7,25,82,0,2.7,17,24.1
28.6,31.2,25.2,82,8.89,3.2,18.3,33.5
27.8,29,25,85,7.87,2.9,19.1,33.5
,,,,,,,
,,,,,,,
,,,,,,,
28.9,31.5,25,80,8.89,3.7,15.4,27.8
29.1,31.5,26.2,80,2.03,4.2,18,25.9
29.1,31.9,26.6,79,2.03,4.5,18,29.4
28.9,31,26.6,78,0.51,5.1,17.6,29.4
,,,,,,,
,,,,,,,
,,,,,,,
28.9,31.8,26.4,82,1.02,3.5,17.8,27.8
27.6,30.4,24.6,84,5.08,3.4,10.9,20.6
27.1,30,24,87,8.89,2.9,8.3,14.8
,,,,,,,
,,,,,,,
,,,,,,,
28.2,31,24.8,82,2.03,3.2,13.1,22.2
28.2,31.5,25,83,3.05,3.1,12.4,24.1
28.3,30.8,24.8,82,6.1,3.4,12.2,25.9
,,,,,,,
,,,,,,,
,,,,,,,
29.3,32,25.3,77,0,3.9,12.4,22.2
29.3,32,25.7,75,0,4.2,14.1,24.1
29.1,32.2,25.2,78,0.25,4.3,17.6,29.4
,,,,,,,
,,,,,,,
,,,,,,,
27.4,30.2,25.3,86,3.05,3.1,13,24.1
29.2,31.8,24.7,77,8.89,4.3,14.3,22.2
29.1,31.7,26,78,0,5.5,14.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28,31,23.8,82,9.91,3.7,11.1,25.9
28.6,31.8,24.6,77,4.06,4,10.9,22.2
27.9,31.3,23.3,80,4.06,3.5,10,22.2
28.4,32,23.8,74,0.51,4.3,12,24.1
,,,,,,,
,,,,,,,
,,,,,,,
28.8,32.2,24.4,69,0,4.8,9.8,20.6
28.9,32,23.8,71,0,4.3,9.3,20.6
28.6,31.5,24.4,75,0,4.2,9.8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
27.9,31.5,23.7,87,17.02,2.7,6.5,18.3
28.3,31.5,23.8,84,21.08,3.5,9.8,20.6
28.7,31,24.2,80,33.02,3.9,10.2,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28.4,31.1,24.8,83,5.08,3.4,17.2,25.9
27.6,30,24,86,32,3.1,15.2,24.1
28.6,32.3,24.7,83,27.94,3.4,15.7,31.7
,,,,,,,
,,,,,,,
,,,,,,,
28.2,31.8,23.7,72,0,4.3,10,22.2
27.9,31.7,23.4,72,0,3.9,9.8,22.2
28.4,33,21.3,71,0,4.8,10.4,22.2
,,,,,,,
,,,,,,,
,,,,,,,
31.7,37,24,59,-,3.5,10.6,22.2
29.2,34.3,25.7,79,3.05,2.6,9.1,20.6
27.9,31.8,25,86,-,3.5,9.6,20.6
,,,,,,,
,,,,,,,
,,,,,,,
31,35,23.5,69,0,2.9,7,18.3
30.6,36,24.4,79,0,2.6,9.1,18.3
30.1,33.2,26.6,76,0,3.5,9.4,18.3
,,,,,,,
,,,,,,,
,,,,,,,
30.4,33.9,25,73,0,3.1,8.1,20.6
31.4,37,23.4,70,0,2.7,6.5,18.3
32.6,37.2,25.4,56,0,3.1,6.7,18.3
,,,,,,,
,,,,,,,
,,,,,,,
32.2,37.5,26.6,58,0,2.6,7.6,14.8
31.8,37.1,24.2,54,0,3.4,7.8,16.5
31.3,37.5,23.9,64,0,2.7,4.4,16.5
,,,,,,,
,,,,,,,
,,,,,,,
30.1,34.4,26,72,-,2.9,7.2,27.8
30.3,35.2,23.8,64,0.76,2.9,8.3,18.3
30.6,34.5,25.2,63,0,2.6,5.6,14.8
,,,,,,,
,,,,,,,
,,,,,,,
30,35.7,22,53,0,3.2,10.2,20.6
30.3,36.1,21.8,57,0,3.2,7.8,18.3
30.6,36.5,23.6,53,0,3.1,10,18.3
30.1,35,21.4,57,0,2.9,6.3,18.3
,,,,,,,
,,,,,,,
,,,,,,,
31.1,36.5,20.7,44,0,4,7.4,14.8
30.4,36,20.7,45,0,3.7,8.7,20.6
29.8,36,20.6,51,0,3.5,7.4,16.5
,,,,,,,
,,,,,,,
,,,,,,,
29.9,37,20.8,48,0,3.5,9.1,20.6
29.9,35.8,21.1,47,0,3.5,9.1,16.5
30.2,36.7,20.7,46,0,3.9,7.6,20.6
,,,,,,,
,,,,,,,
,,,,,,,
29.5,34.7,21.4,32,0,3.5,10.7,18.3
30.4,37,18.4,40,0,3.5,11.9,22.2
29.2,35.5,23.2,60,0.51,3.1,9.4,16.5
,,,,,,,
,,,,,,,
,,,,,,,
30.3,35.5,23.6,63,0,3.1,6.9,14.8
30.3,35.3,23.4,63,0,2.6,6.7,16.5
28.9,33,22.4,55,0,3.5,7.6,18.3
,,,,,,,
,,,,,,,
,,,,,,,
29.8,35.8,20.2,56,0,2.7,6.9,20.6
29.6,35.2,20.8,55,0,2.4,8,18.3
29,34.6,19.6,47,0,2.9,8.1,20.6
,,,,,,,
,,,,,,,
,,,,,,,
29.5,35.7,18.7,40,0,3.2,7.6,16.5
28.3,34.9,17.9,44,0,2.9,8,14.8
27.9,33.3,17,51,0,2.6,7,16.5
,,,,,,,
,,,,,,,
,,,,,,,
26.8,31.5,17.2,42,0,3.1,6.9,18.3
27.6,32.1,18.4,51,0,2.7,6.9,16.5
27.9,33,21.5,54,0,2.7,6.9,16.5
,,,,,,,
,,,,,,,
,,,,,,,
27.4,33.5,17.4,53,0,2.4,7.4,16.5
26.8,31.1,17.8,58,0,2.3,5.9,18.3
25.8,31.6,16,44,0,2.7,7.6,20.6
,,,,,,,
,,,,,,,
,,,,,,,
25.3,32.1,18.3,28,0,2.9,15.6,24.1
25.4,32.7,16.6,28,0,2.6,10.4,20.6
25.7,34,14.4,33,0,2.7,7.4,20.6
,,,,,,,
,,,,,,,
,,,,,,,
-,-,-,-,-,-,-,-
28.6,35.3,15.7,35,0,3.1,7,18.3
26.9,33.2,15,43,0,2.6,7.2,18.3
25.8,32.3,13.2,49,0,2.4,6.3,18.3
,,,,,,,
,,,,,,,
,,,,,,,
26.7,32.1,19,52,0,1.9,7,14.8
27.2,32.8,18.8,50,0,2.1,6.9,16.5
26.6,32.3,17.2,41,0,2.9,7.2,18.3
,,,,,,,
,,,,,,,
,,,,,,,
24.9,29,18.5,59,0,2.1,5.9,18.3
24,28,17.5,62,0,2.7,8.7,25.9
24,27.2,17.2,63,0,2.6,7.4,20.6
,,,,,,,
,,,,,,,
,,,,,,,
23.7,28.2,15,39,0,3.2,9.6,20.6
23.4,29.5,12.6,39,0,2.9,10.7,22.2
25.2,31,15.2,33,0,2.9,11.3,20.6
,,,,,,,
,,,,,,,
,,,,,,,
25.3,31.4,15.1,40,0,3.2,6.9,20.6
24.1,29,13.6,50,0,3.2,9.1,22.2
24,29,15.9,58,0,2.9,8.3,18.3
,,,,,,,
,,,,,,,
,,,,,,,
26.8,31,18,60,0,2.3,7.8,18.3
26.9,32,18.6,53,0,2.6,7.6,18.3
26.8,33,17.5,50,0,2.7,8.7,18.3
25.7,32.4,15,46,0,3.1,6.3,22.2
,,,,,,,
,,,,,,,
,,,,,,,
23.7,28,16.8,62,0,4.5,9.3,20.6
24.7,29.7,15.9,62,0,3.4,8.1,18.3
25.8,30,17.6,65,0,2.3,8.1,20.6
,,,,,,,
,,,,,,,
,,,,,,,
24.2,28,16.8,61,0,3.2,10.6,20.6
25.1,31.3,16.4,41,0,2.9,9.1,24.1
25.6,31,16.4,42,0,2.7,8.9,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.8,30.9,20.7,68,0,3.1,7.6,20.6
28,31,21,57,0,3.2,10.6,22.2
28.6,32,21.4,39,0,3.2,9.8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
25.9,30,19.6,66,0,2.7,8.3,20.6
26.8,31,18.8,66,0,2.3,6.7,20.6
28.1,34,20.2,62,0,1.6,7.2,20.6
,,,,,,,
,,,,,,,
29.3,35,20.2,59,0,2.1,7.4,20.6
29.7,34,23.2,61,0,2.4,8.5,20.6
31.3,36,24.9,46,0,2.7,10.9,18.3
,,,,,,,
,,,,,,,
,,,,,,,
28.6,33,20,50,0,3.1,9.3,22.2
29.6,35,21.4,43,0,3.4,11.3,20.6
29.3,34,22.6,49,0,3.2,11.3,24.1
,,,,,,,
,,,,,,,
,,,,,,,
26.9,31,22.9,66,0,5.5,10.9,18.3
26.7,30,20.6,66,0,4.3,10.4,25.9
28.2,31,22.3,56,0,3.9,10.6,25.9
,,,,,,,
,,,,,,,
,,,,,,,
31.9,37,23.4,43,0,3.4,10.2,20.6
31.2,37,26.2,48,0,3.4,10.9,18.3
30.7,37,23.3,44,0,3.7,10,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28.4,32.2,24,77,0,3.4,10,22.2
29.3,32,23.8,71,0,3.1,8.7,22.2
31.3,36,23.4,53,0,3.4,8.9,20.6
,,,,,,,
,,,,,,,
,,,,,,,
28.4,33,22.8,68,0,3.9,10.9,24.1
28.3,32,23.4,73,0,3.9,11.3,22.2
28.2,31.5,23.4,75,0,3.2,10.2,25.9
28.7,31.2,23.4,74,0,3.5,9.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.1,34,23.4,55,0,3.5,10.9,24.1
31.2,37,24,43,0,3.2,11.9,20.6
30.8,35,25.4,52,0,4,11.9,20.6
,,,,,,,
,,,,,,,
,,,,,,,
29.1,32.9,23.4,73,0,3.2,11.3,24.1
29.4,34,22.8,68,0,3.5,10.6,22.2
29.8,34,22.2,65,0,3.4,11.5,22.2
,,,,,,,
,,,,,,,
,,,,,,,
30.7,34,25,66,0,3.7,10.9,22.2
29.9,32.9,26,72,0,3.7,10.7,22.2
29,32.2,25.3,74,0,4.2,11.9,24.1
,,,,,,,
,,,,,,,
,,,,,,,
29,32.2,24,68,0,4,9.6,20.6
29.8,33.2,22.6,69,0,4,10.9,20.6
33,38,25.4,47,0,3.7,13.1,24.1
,,,,,,,
,,,,,,,
,,,,,,,
29.9,33.5,25,72,0,4.2,11.3,22.2
30.2,34,25.6,72,0,3.7,11.1,22.2
30.2,34,24.8,71,0,4.5,8.9,24.1
,,,,,,,
,,,,,,,
,,,,,,,
29.9,32.5,25.1,72,0,4.5,11.5,24.1
30.2,33.2,26.2,72,0,4.3,12,24.1
30.1,33.2,26.5,73,0,5.1,9.8,24.1
,,,,,,,
,,,,,,,
,,,,,,,
30.8,33.5,26.5,74,0,3.9,12.4,22.2
31.2,33.7,27.4,73,0,4.2,11.7,27.8
30.9,33.9,25.8,76,0,5,12,24.1
,,,,,,,
,,,,,,,
,,,,,,,
31.2,34,28.6,74,0,3.9,16.9,22.2
31.4,34.4,29.2,73,0,4.2,17.4,22.2
31.3,34.5,29,73,0,3.9,17.6,24.1
,,,,,,,
,,,,,,,
,,,,,,,
31.4,35,29.2,73,-,4.7,16.9,24.1
31.6,35.2,29,70,-,4.3,15.6,24.1
31.6,35,28.8,70,-,4.5,15,22.2
,,,,,,,
,,,,,,,
,,,,,,,
32.1,35,27.7,68,0,4.5,14.3,25.9
32,34,29,67,0,4.3,13.5,81.3
32.2,35,29,66,0,4.5,14.6,27.8
31.9,34.7,28,68,0,4.8,16.7,27.8
,,,,,,,
,,,,,,,
,,,,,,,
31.6,34,28.6,73,0,4,15.4,24.1
31.8,35,28.6,70,0,4,17,25.9
31.9,34.6,29,70,0,4.2,15.6,24.1
,,,,,,,
,,,,,,,
,,,,,,,
31.8,35,29,71,-,3.4,19.1,27.8
31.4,34.7,28.8,72,-,2.7,18.9,27.8
31.3,33.7,27.6,74,-,3.5,17.6,25.9
,,,,,,,
,,,,,,,
,,,,,,,
28.8,32,25,80,-,2.4,12,22.2
27.7,29.2,23.2,87,-,2.9,9.4,16.5
28.1,31.6,23.9,86,-,3.5,13.1,22.2
,,,,,,,
,,,,,,,
,,,,,,,
26.7,28,24.3,92,-,2.1,14.1,22.2
26.6,29.5,23.4,90,-,2.4,14.6,22.2
27.1,29,24.4,92,-,1.8,12.4,22.2
,,,,,,,
,,,,,,,
,,,,,,,
27.8,30,23.6,92,-,1.8,15,24.1
27.2,28,24.6,94,-,1.8,18.1,31.7
27.9,30,24.8,92,-,2.1,18.1,29.4
,,,,,,,
,,,,,,,
,,,,,,,
28.9,30,25.9,83,-,3.1,16.9,22.2
28.4,29,27,86,-,2.7,19.3,25.9
28.8,30,25.4,83,-,2.7,18.5,31.7
,,,,,,,
,,,,,,,
,,,,,,,
28.2,30.5,24,84,-,2.9,17.2,27.8
27,30.5,25,90,-,2.9,13.1,25.9
28.2,31.5,24.3,84,-,3.2,14.6,24.1
,,,,,,,
,,,,,,,
,,,,,,,
26.4,28,23.4,91,-,2.4,13.7,25.9
27.5,30,24,86,-,2.9,12.6,24.1
26.1,27.7,23.7,90,-,2.4,7,22.2
,,,,,,,
,,,,,,,
,,,,,,,
27.7,29.5,24.7,86,-,3.4,9.1,18.3
26.4,28,25,90,-,2.6,8,20.6
25.9,29,23.4,90,-,2.7,9.3,14.8
,,,,,,,
,,,,,,,
,,,,,,,
26.5,28,25,94,-,2.1,14.3,24.1
27,28,23.2,90,-,2.6,22,35.2
27.8,28,24.6,85,-,2.7,19.8,33.5
27.9,29,25,86,-,2.4,22.2,33.5
,,,,,,,
,,,,,,,
,,,,,,,
28.4,30,25.2,82,-,3.5,19.8,25.9
28.4,30.6,25.5,83,-,3.2,20.9,29.4
28.2,30.6,26,84,-,3.2,22.2,33.5
,,,,,,,
,,,,,,,
,,,,,,,
28.5,30.6,25.9,82,-,3.9,19.3,29.4
28.2,30,25.8,81,-,3.1,21.9,31.7
28.5,30.6,26,81,-,3.1,19.3,27.8
,,,,,,,
,,,,,,,
,,,,,,,
28.3,31,25.7,80,-,3.2,14.6,24.1
28.6,30.2,25.4,81,-,2.9,16.5,24.1
28.6,30.6,25.8,80,-,3.1,17.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28.3,31.7,24.8,79,-,3.5,15.4,24.1
26.3,28,24.4,91,-,2.3,7.4,16.5
25.7,27,24,95,-,1.9,9.3,14.8
,,,,,,,
,,,,,,,
,,,,,,,
28.2,30.7,25,81,-,4.2,12.2,24.1
28.2,31.3,25.4,81,0.51,3.7,15.9,25.9
27.2,30.3,25,85,4.06,3.4,11.9,31.7
27.4,30.2,23.6,82,0,3.4,12.8,22.2
,,,,,,,
,,,,,,,
,,,,,,,
27.6,30.6,25.4,78,-,3.4,14.3,27.8
27.9,31.5,24,78,-,3.2,11.9,22.2
27.2,31.7,24,81,-,3.2,10.9,22.2
,,,,,,,
,,,,,,,
,,,,,,,
28,30,23.6,81,-,3.5,9.3,20.6
28.9,31,23.9,78,-,3.4,11.9,20.6
26.2,28,25,92,-,2.1,9.8,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.6,29,23,89,-,3.1,12.8,22.2
25.3,28,23,94,-,1.9,12.2,22.2
26.1,27,25.5,93,-,1.8,10.7,13
,,,,,,,
,,,,,,,
,,,,,,,
27.4,29.2,23.4,84,-,3.1,10.9,20.6
28.7,31,24.8,80,0,4,11.9,22.2
28.1,29.5,25.2,83,-,2.9,10.4,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.3,28,24.5,88,-,2.6,10.7,18.3
25.1,26.2,23,95,-,2.3,9.4,18.3
25.7,27.2,23,93,-,2.9,10.2,14.8
,,,,,,,
,,,,,,,
,,,,,,,
27.7,31,24,83,-,4,11.9,22.2
28,31.6,23.4,80,0,3.7,11.9,20.6
28.2,31,23.6,83,0,3.4,10.7,20.6
,,,,,,,
,,,,,,,
,,,,,,,
28.2,34,22.6,72,0,4.2,11.5,20.6
29.1,33.2,22.4,67,0,2.7,10,18.3
29.4,33.3,21.5,70,0,2.4,9.3,16.5
,,,,,,,
,,,,,,,
,,,,,,,
30.8,35,22.6,50,0,2.6,8.1,20.6
29.7,35,20.6,51,0,2.6,9.6,18.3
28.9,34,21,62,0,2.6,9.6,18.3
,,,,,,,
,,,,,,,
,,,,,,,
28,31,21.7,60,0,3.4,10.9,20.6
28,33,18.8,59,0,3.1,9.4,18.3
29.8,35,20.5,47,0,3.5,10.6,25.9
,,,,,,,
,,,,,,,
,,,,,,,
30.8,35.7,20.2,50,0,3.1,10.7,22.2
30.4,36,22.2,39,0,3.5,10.7,22.2
30,35,22,34,0,3.4,12.6,20.6
29.1,34.7,20.4,40,0,3.4,10,18.3
,,,,,,,
,,,,,,,
,,,,,,,
27.9,34,18.5,46,0,3.1,9.1,24.1
28.6,35,16.7,37,0,3.1,9.1,18.3
28.2,35,17,37,0,3.2,9.6,18.3
,,,,,,,
-,-,-,-,-,-,-,-
,,,,,,,
,,,,,,,
28.2,34,19,46,0,2.6,7.6,16.5
28.8,35,19.6,56,0,2.3,6.3,13
29.9,35.4,22,59,0,2.3,9.3,16.5
,,,,,,,
,,,,,,,
,,,,,,,
27.1,34.5,16.4,46,0,3.1,7.6,16.5
27.7,35.2,16.4,41,0,3.4,8.5,16.5
28.1,35,17.6,40,0,2.7,7.8,16.5
,,,,,,,
,,,,,,,
,,,,,,,
27.9,34.5,17.4,41,0,3.1,8.3,16.5
28,35,16.6,43,0,3.2,8,20.6
28.4,35,18,50,0,2.6,6.9,18.3
,,,,,,,
,,,,,,,
28,33,17.6,49,0,2.4,6.7,14.8
27.9,35.2,18.4,47,0,2.6,9.8,18.3
28.9,35,18.8,46,0,2.4,9.8,16.5
,,,,,,,
,,,,,,,
,,,,,,,
27.4,34,17.4,43,0,2.6,8.7,20.6
27.1,33,17.6,41,0,2.7,7.8,18.3
26.1,33.5,17,52,0,2.3,7.6,16.5
,,,,,,,
,,,,,,,
,,,,,,,
28.2,35,16.2,39,0,2.9,9.1,20.6
28.8,34.6,18.2,46,0,3.1,8.5,18.3
29.3,34,22.6,55,0,3.1,9.4,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.6,32,17,48,0,3.2,8,18.3
27.3,34,18.5,46,0,2.9,9.6,16.5
27.4,34,16.4,45,0,2.6,7.8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
